De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude
2033708,"St Aidan's Primary School, Limavady",Limavady,BT49 0LL,Catholic Maintained,East Londonderry,RURAL,60.0,55.151115,-6.90718
2036008,"St Patrick's Primary School, Newtownstewart",Newtownstewart,BT78 4AQ,Catholic Maintained,West Tyrone,RURAL,100.0,54.715358,-7.379801
2036032,"St John's Primary School, Bligh's Lane",Londonderry,BT48 9PJ,Catholic Maintained,Foyle,URBAN,415.0,54.995505,-7.338315
2036045,"St Canice Primary School, Dungiven",Dungiven,BT47 4SE,Catholic Maintained,East Londonderry,RURAL,281.0,54.922312,-6.91358
2036069,"St Anne's Primary School, Londonderry",Londonderry,BT48 0EY,Catholic Maintained,Foyle,URBAN,340.0,55.005322,-7.333246
2036070,"St Joseph's Primary School, Ederney",Ederney,BT93 0HA,Catholic Maintained,Fermanagh And South Tyrone,RURAL,143.0,54.53127,-7.658811
2036082,"St Colmcille's Primary School, Claudy",Claudy,BT47 4HR,Catholic Maintained,East Londonderry,RURAL,252.0,54.912439,-7.156686
2036084,"Steelstown Primary School, Londonderry",Londonderry,BT48 8EX,Catholic Maintained,Foyle,URBAN,474.0,55.027308,-7.308315
2036085,"St Peter's & St Paul's Primary School, Dungiven",Dungiven,BT47 4PJ,Catholic Maintained,East Londonderry,RURAL,53.0,54.92985,-7.030482
2036090,"St Naile's Primary School, Kinawley",Kinawley,BT92 4FJ,Catholic Maintained,Fermanagh And South Tyrone,RURAL,105.0,54.226683,-7.645845
2036094,"St Patrick's Primary School, Castlederg",Castlederg,BT81 7EE,Catholic Maintained,West Tyrone,RURAL,308.0,54.716013,-7.596249
2036095,"St Mary's Primary School, Cloughcor",Strabane,BT82 0BE,Catholic Maintained,West Tyrone,RURAL,140.0,54.88006,-7.415771
2036097,"St Peter's Primary School, Plumbridge",Plumbridge,BT79 8AF,Catholic Maintained,West Tyrone,RURAL,79.0,54.768753,-7.253756
2036105,"St Martin's Primary School, Garrison",Garrison,BT93 4AE,Catholic Maintained,Fermanagh And South Tyrone,RURAL,107.0,54.419779,-8.088937
2036107,"St Joseph's Primary School, Donagh",Lisnaskea,BT92 5BE,Catholic Maintained,Fermanagh And South Tyrone,RURAL,69.0,54.216796,-7.390917
2036116,"St Conor's Primary School, Omagh",Omagh,BT78 5JQ,Catholic Maintained,West Tyrone,URBAN,443.0,54.598425,-7.324659
2036142,"St Brigid's Primary School, Carnhill",Londonderry,BT48 8BZ,Catholic Maintained,Foyle,URBAN,396.0,55.024672,-7.317226
2036143,"St Oliver Plunkett Primary School, Strathfoyle",Londonderry,BT47 6XA,Catholic Maintained,Foyle,RURAL,166.0,55.031244,-7.268792
2036149,"St Finlough's Primary School, Sistrakeel",Ballykelly,BT49 9JL,Catholic Maintained,East Londonderry,RURAL,59.0,55.012921,-7.039123
2036153,"St Scire's Primary School, Trillick",Trillick,BT78 3RB,Catholic Maintained,West Tyrone,RURAL,135.0,54.44771,-7.489048
2036181,"St Mary's Primary School, Teemore",Derrylin,BT92 9QF,Catholic Maintained,Fermanagh And South Tyrone,RURAL,143.0,54.154498,-7.525775
2036187,"St John's Primary School, Dernaflaw",Dungiven,BT47 4PN,Catholic Maintained,East Londonderry,RURAL,167.0,54.924055,-6.967172
2036213,"St Columban's Primary School, Belcoo",Belcoo,BT93 5DS,Catholic Maintained,Fermanagh And South Tyrone,RURAL,94.0,54.3074,-7.895129
2036227,"St Paul's Primary School, Slievemore",Londonderry,BT48 8QZ,Catholic Maintained,Foyle,URBAN,218.0,55.04889,-7.263448
